match_key,match_date,team_name,opponent,avg_score_last_5,avg_margin_last_5,days_rest,team_avg_player_disposals_last_5,team_avg_player_goals_last_5
1994-03-27_Adelaide Crows_vs_Carlton Blues,1994-03-27,Adelaide Crows,Carlton Blues,100.2,-3.4,190.0,15.86875,1.9583333333333333
1994-04-03_Adelaide Crows_vs_West Coast Eagles,1994-04-03,Adelaide Crows,West Coast Eagles,112.6,15.2,7.0,16.383333333333333,2.183333333333333
1994-04-10_Adelaide Crows_vs_Sydney Swans,1994-04-10,Adelaide Crows,Sydney Swans,101.2,6.6,7.0,15.93125,1.6333333333333335
1994-04-17_Adelaide Crows_vs_Geelong Cats,1994-04-17,Adelaide Crows,Geelong Cats,110.0,7.4,7.0,14.492857142857144,2.5541666666666667
1994-04-24_Adelaide Crows_vs_Western Bulldogs,1994-04-24,Adelaide Crows,Western Bulldogs,117.2,16.4,7.0,15.475,2.5500000000000003
1994-04-30_Adelaide Crows_vs_brisbane bears,1994-04-30,Adelaide Crows,brisbane bears,115.8,15.2,6.0,,
1994-05-15_Adelaide Crows_vs_Essendon Bombers,1994-05-15,Adelaide Crows,Essendon Bombers,110.0,4.2,15.0,12.356666666666666,2.858333333333333
1994-05-22_Adelaide Crows_vs_Hawthorn Hawks,1994-05-22,Adelaide Crows,Hawthorn Hawks,112.0,-0.6,7.0,12.7,2.913333333333333
1994-05-29_Adelaide Crows_vs_Fitzroy Lions,1994-05-29,Adelaide Crows,Fitzroy Lions,90.8,-23.8,7.0,12.62962962962963,2.6999999999999997
1994-06-04_Adelaide Crows_vs_Collingwood Magpies,1994-06-04,Adelaide Crows,Collingwood Magpies,90.6,-21.4,6.0,12.686666666666667,2.0
1994-06-11_Adelaide Crows_vs_North Melbourne Kangaroos,1994-06-11,Adelaide Crows,North Melbourne Kangaroos,85.4,-22.6,7.0,12.81111111111111,1.8
1994-06-19_Adelaide Crows_vs_Melbourne Demons,1994-06-19,Adelaide Crows,Melbourne Demons,75.0,-40.8,8.0,12.14,1.5066666666666666
1994-06-25_Adelaide Crows_vs_St Kilda Saints,1994-06-25,Adelaide Crows,St Kilda Saints,74.0,-31.2,6.0,12.773333333333333,1.9533333333333336
1994-07-03_Adelaide Crows_vs_Richmond Tigers,1994-07-03,Adelaide Crows,Richmond Tigers,80.2,-11.8,8.0,14.231818181818182,1.6857142857142857
1994-07-10_Adelaide Crows_vs_Carlton Blues,1994-07-10,Adelaide Crows,Carlton Blues,76.2,-21.0,7.0,13.410606060606062,1.5666666666666667
1994-07-17_Adelaide Crows_vs_West Coast Eagles,1994-07-17,Adelaide Crows,West Coast Eagles,78.0,-28.4,7.0,12.152777777777779,1.58125
1994-07-22_Adelaide Crows_vs_Sydney Swans,1994-07-22,Adelaide Crows,Sydney Swans,80.6,-11.6,5.0,13.488888888888889,1.55
1994-07-31_Adelaide Crows_vs_Geelong Cats,1994-07-31,Adelaide Crows,Geelong Cats,79.0,-15.0,9.0,12.772222222222224,1.5
1994-08-07_Adelaide Crows_vs_Western Bulldogs,1994-08-07,Adelaide Crows,Western Bulldogs,70.8,-25.6,7.0,13.512500000000001,1.5277777777777777
1994-08-14_Adelaide Crows_vs_Brisbane Bears,1994-08-14,Adelaide Crows,Brisbane Bears,61.0,-41.0,7.0,11.875,1.59375
1994-08-28_Adelaide Crows_vs_Essendon Bombers,1994-08-28,Adelaide Crows,Essendon Bombers,63.6,-28.4,14.0,13.204545454545455,1.6190476190476188
1994-09-03_Adelaide Crows_vs_Hawthorn Hawks,1994-09-03,Adelaide Crows,Hawthorn Hawks,70.2,-17.8,6.0,13.918181818181818,1.738095238095238
1995-03-31_Adelaide Crows_vs_North Melbourne Kangaroos,1995-03-31,Adelaide Crows,North Melbourne Kangaroos,64.6,-19.2,209.0,14.079166666666666,1.8333333333333333
1995-04-09_Adelaide Crows_vs_Brisbane Bears,1995-04-09,Adelaide Crows,Brisbane Bears,72.2,-9.2,9.0,14.976923076923075,1.675925925925926
1995-04-16_Adelaide Crows_vs_St Kilda Saints,1995-04-16,Adelaide Crows,St Kilda Saints,85.2,2.2,7.0,15.820833333333333,1.4444444444444444
1995-04-23_Adelaide Crows_vs_west coast eagles,1995-04-23,Adelaide Crows,west coast eagles,85.8,14.8,7.0,,
1995-04-30_Adelaide Crows_vs_Sydney Swans,1995-04-30,Adelaide Crows,Sydney Swans,74.0,5.4,7.0,15.284615384615384,1.575
1995-05-05_Adelaide Crows_vs_Melbourne Demons,1995-05-05,Adelaide Crows,Melbourne Demons,82.0,-2.2,5.0,13.360714285714286,1.4090909090909092
1995-05-12_Adelaide Crows_vs_richmond tigers,1995-05-12,Adelaide Crows,richmond tigers,82.2,0.0,7.0,,
1995-05-20_Adelaide Crows_vs_Fitzroy Lions,1995-05-20,Adelaide Crows,Fitzroy Lions,74.0,2.6,8.0,13.557142857142859,1.3848484848484848
1995-05-27_Adelaide Crows_vs_Hawthorn Hawks,1995-05-27,Adelaide Crows,Hawthorn Hawks,68.8,-17.2,7.0,13.045833333333334,1.5958333333333334
1995-06-03_Adelaide Crows_vs_geelong cats,1995-06-03,Adelaide Crows,geelong cats,69.6,-18.8,7.0,,
1995-06-10_Adelaide Crows_vs_Western Bulldogs,1995-06-10,Adelaide Crows,Western Bulldogs,70.4,-12.4,7.0,12.918055555555556,1.4791666666666665
1995-06-24_Adelaide Crows_vs_fremantle dockers,1995-06-24,Adelaide Crows,fremantle dockers,73.0,-5.2,14.0,,
1995-06-30_Adelaide Crows_vs_Collingwood Magpies,1995-06-30,Adelaide Crows,Collingwood Magpies,82.4,1.8,6.0,12.207692307692307,1.8229166666666665
1995-07-08_Adelaide Crows_vs_Essendon Bombers,1995-07-08,Adelaide Crows,Essendon Bombers,80.4,-10.8,8.0,12.307692307692308,1.7037037037037035
1995-07-15_Adelaide Crows_vs_Carlton Blues,1995-07-15,Adelaide Crows,Carlton Blues,80.4,-35.6,7.0,13.554166666666667,1.425925925925926
1995-07-21_Adelaide Crows_vs_North Melbourne Kangaroos,1995-07-21,Adelaide Crows,North Melbourne Kangaroos,82.2,-37.2,6.0,13.115384615384615,1.5416666666666665
1995-07-30_Adelaide Crows_vs_Brisbane Bears,1995-07-30,Adelaide Crows,Brisbane Bears,77.2,-43.8,9.0,12.424999999999999,1.4583333333333333
1995-08-05_Adelaide Crows_vs_St Kilda Saints,1995-08-05,Adelaide Crows,St Kilda Saints,65.4,-54.0,6.0,12.356666666666666,1.3636363636363635
1995-08-13_Adelaide Crows_vs_West Coast Eagles,1995-08-13,Adelaide Crows,West Coast Eagles,73.8,-28.8,8.0,12.989285714285714,1.3958333333333333
1995-08-19_Adelaide Crows_vs_Sydney Swans,1995-08-19,Adelaide Crows,Sydney Swans,70.2,-31.4,6.0,13.503846153846155,1.371212121212121
1995-08-25_Adelaide Crows_vs_Melbourne Demons,1995-08-25,Adelaide Crows,Melbourne Demons,68.8,-34.0,6.0,13.257692307692308,1.4294871794871793
1995-09-02_Adelaide Crows_vs_Richmond Tigers,1995-09-02,Adelaide Crows,Richmond Tigers,85.0,-30.0,8.0,14.149999999999999,1.5902777777777777
1996-03-31_Adelaide Crows_vs_Sydney Swans,1996-03-31,Adelaide Crows,Sydney Swans,93.0,-31.4,211.0,13.970588235294118,1.5705128205128203
1996-04-06_Adelaide Crows_vs_Fitzroy Lions,1996-04-06,Adelaide Crows,Fitzroy Lions,99.4,-19.4,6.0,14.085294117647058,1.6428571428571428
1996-04-12_Adelaide Crows_vs_Geelong Cats,1996-04-12,Adelaide Crows,Geelong Cats,117.6,14.0,6.0,14.455882352941176,1.7692307692307692
1996-04-20_Adelaide Crows_vs_Essendon Bombers,1996-04-20,Adelaide Crows,Essendon Bombers,127.4,36.0,8.0,14.479411764705883,2.0738095238095235
1996-04-27_Adelaide Crows_vs_North Melbourne Kangaroos,1996-04-27,Adelaide Crows,North Melbourne Kangaroos,130.4,49.0,7.0,15.470588235294118,2.0547619047619046
1996-05-04_Adelaide Crows_vs_Collingwood Magpies,1996-05-04,Adelaide Crows,Collingwood Magpies,135.8,48.6,7.0,16.859375,1.9066666666666667
1996-05-12_Adelaide Crows_vs_Fremantle Dockers,1996-05-12,Adelaide Crows,Fremantle Dockers,125.8,16.2,8.0,16.15,2.1222222222222222
1996-05-19_Adelaide Crows_vs_St Kilda Saints,1996-05-19,Adelaide Crows,St Kilda Saints,125.6,29.0,7.0,16.353125,1.9392857142857145
1996-05-25_Adelaide Crows_vs_western bulldogs,1996-05-25,Adelaide Crows,western bulldogs,116.6,21.0,6.0,,
1996-06-09_Adelaide Crows_vs_west coast eagles,1996-06-09,Adelaide Crows,west coast eagles,100.2,-6.2,15.0,,
1996-06-15_Adelaide Crows_vs_Hawthorn Hawks,1996-06-15,Adelaide Crows,Hawthorn Hawks,92.8,-9.2,6.0,13.812745098039215,1.7569444444444444
1996-06-21_Adelaide Crows_vs_richmond tigers,1996-06-21,Adelaide Crows,richmond tigers,96.6,3.4,6.0,,
1996-06-30_Adelaide Crows_vs_Melbourne Demons,1996-06-30,Adelaide Crows,Melbourne Demons,86.6,-25.0,9.0,13.947916666666666,1.4166666666666665
1996-07-06_Adelaide Crows_vs_Brisbane Bears,1996-07-06,Adelaide Crows,Brisbane Bears,81.6,-40.0,6.0,13.191176470588236,1.6142857142857143
1996-07-13_Adelaide Crows_vs_Carlton Blues,1996-07-13,Adelaide Crows,Carlton Blues,86.2,-30.4,7.0,12.878947368421052,1.596875
1996-07-21_Adelaide Crows_vs_Sydney Swans,1996-07-21,Adelaide Crows,Sydney Swans,83.8,-33.0,8.0,14.133333333333333,1.4677777777777776
1996-07-28_Adelaide Crows_vs_Fitzroy Lions,1996-07-28,Adelaide Crows,Fitzroy Lions,81.6,-35.6,7.0,13.88076923076923,1.6875
1996-08-03_Adelaide Crows_vs_Geelong Cats,1996-08-03,Adelaide Crows,Geelong Cats,98.4,-6.6,6.0,14.519444444444446,1.8222222222222222
1996-08-10_Adelaide Crows_vs_Essendon Bombers,1996-08-10,Adelaide Crows,Essendon Bombers,97.8,-3.4,7.0,15.141666666666667,1.8214285714285714
1996-08-17_Adelaide Crows_vs_North Melbourne Kangaroos,1996-08-17,Adelaide Crows,North Melbourne Kangaroos,98.8,-12.2,7.0,14.733333333333333,1.858974358974359
1996-08-25_Adelaide Crows_vs_Collingwood Magpies,1996-08-25,Adelaide Crows,Collingwood Magpies,100.0,0.0,8.0,14.813725490196077,2.0375
1996-08-31_Adelaide Crows_vs_St Kilda Saints,1996-08-31,Adelaide Crows,St Kilda Saints,101.6,-7.0,6.0,14.221875,1.6472222222222221
1997-03-30_Adelaide Crows_vs_Brisbane Lions,1997-03-30,Adelaide Crows,Brisbane Lions,83.4,-40.6,211.0,13.440625,1.5472222222222223
1997-04-05_Adelaide Crows_vs_Richmond Tigers,1997-04-05,Adelaide Crows,Richmond Tigers,96.0,-26.4,6.0,12.723529411764707,1.6027777777777779
1997-04-13_Adelaide Crows_vs_Carlton Blues,1997-04-13,Adelaide Crows,Carlton Blues,94.6,-24.8,8.0,13.1625,1.7555555555555555
1997-04-20_Adelaide Crows_vs_Port Adelaide Power,1997-04-20,Adelaide Crows,Port Adelaide Power,96.6,-29.2,7.0,12.438235294117646,1.6805555555555556
1997-04-26_Adelaide Crows_vs_Western Bulldogs,1997-04-26,Adelaide Crows,Western Bulldogs,91.8,-20.0,6.0,13.506481481481481,1.6987179487179487
1997-05-03_Adelaide Crows_vs_Collingwood Magpies,1997-05-03,Adelaide Crows,Collingwood Magpies,101.0,3.8,7.0,13.419444444444444,1.8782051282051282
1997-05-11_Adelaide Crows_vs_Essendon Bombers,1997-05-11,Adelaide Crows,Essendon Bombers,91.2,-3.6,8.0,14.312962962962963,1.7797619047619049
1997-05-17_Adelaide Crows_vs_Sydney Swans,1997-05-17,Adelaide Crows,Sydney Swans,96.4,12.6,6.0,14.40877192982456,1.6607142857142858
1997-05-24_Adelaide Crows_vs_Hawthorn Hawks,1997-05-24,Adelaide Crows,Hawthorn Hawks,109.2,36.0,7.0,15.042105263157895,1.64375
1997-06-02_Adelaide Crows_vs_fremantle dockers,1997-06-02,Adelaide Crows,fremantle dockers,115.2,41.0,9.0,,
1997-06-08_Adelaide Crows_vs_Melbourne Demons,1997-06-08,Adelaide Crows,Melbourne Demons,112.0,37.6,6.0,15.2125,1.5872549019607844
1997-06-15_Adelaide Crows_vs_North Melbourne Kangaroos,1997-06-15,Adelaide Crows,North Melbourne Kangaroos,114.8,48.2,7.0,15.005,1.5604166666666668
1997-06-28_Adelaide Crows_vs_Geelong Cats,1997-06-28,Adelaide Crows,Geelong Cats,106.2,33.2,13.0,14.894736842105264,1.657142857142857
1997-07-04_Adelaide Crows_vs_West Coast Eagles,1997-07-04,Adelaide Crows,West Coast Eagles,88.2,4.2,6.0,14.577777777777776,1.5250000000000001
1997-07-12_Adelaide Crows_vs_st kilda saints,1997-07-12,Adelaide Crows,st kilda saints,89.0,16.4,8.0,,
1997-07-18_Adelaide Crows_vs_Brisbane Lions,1997-07-18,Adelaide Crows,Brisbane Lions,83.2,11.8,6.0,14.844736842105263,1.3178571428571428
1997-07-26_Adelaide Crows_vs_richmond tigers,1997-07-26,Adelaide Crows,richmond tigers,81.2,-4.8,8.0,,
1997-08-03_Adelaide Crows_vs_Carlton Blues,1997-08-03,Adelaide Crows,Carlton Blues,101.6,27.0,8.0,13.673809523809522,1.3916666666666666
1997-08-10_Adelaide Crows_vs_Port Adelaide Power,1997-08-10,Adelaide Crows,Port Adelaide Power,116.2,46.4,7.0,15.012698412698413,1.4289473684210525
1997-08-17_Adelaide Crows_vs_Western Bulldogs,1997-08-17,Adelaide Crows,Western Bulldogs,108.0,32.8,7.0,14.04920634920635,1.436842105263158
1997-08-25_Adelaide Crows_vs_Collingwood Magpies,1997-08-25,Adelaide Crows,Collingwood Magpies,104.8,22.2,8.0,13.361904761904762,1.3683333333333334
1997-08-31_Adelaide Crows_vs_Essendon Bombers,1997-08-31,Adelaide Crows,Essendon Bombers,97.0,30.2,6.0,13.869047619047619,1.4745098039215687
1997-09-07_Adelaide Crows_vs_West Coast Eagles,1997-09-07,Adelaide Crows,West Coast Eagles,79.6,2.0,7.0,12.783333333333333,1.44375
1997-09-13_Adelaide Crows_vs_Geelong Cats,1997-09-13,Adelaide Crows,Geelong Cats,74.0,0.4,6.0,12.649999999999999,1.3518518518518519
1997-09-20_Adelaide Crows_vs_Western Bulldogs,1997-09-20,Adelaide Crows,Western Bulldogs,76.2,0.6,7.0,12.934999999999999,1.375
1997-09-27_Adelaide Crows_vs_St Kilda Saints,1997-09-27,Adelaide Crows,St Kilda Saints,82.8,9.6,7.0,14.252500000000001,1.3854166666666667
1998-03-28_Adelaide Crows_vs_Carlton Blues,1998-03-28,Adelaide Crows,Carlton Blues,98.2,14.0,182.0,13.176315789473684,1.5572916666666667
1998-04-05_Adelaide Crows_vs_Fremantle Dockers,1998-04-05,Adelaide Crows,Fremantle Dockers,91.2,12.8,8.0,12.811904761904762,1.5
1998-04-12_Adelaide Crows_vs_St Kilda Saints,1998-04-12,Adelaide Crows,St Kilda Saints,104.8,24.8,7.0,12.870454545454544,1.6064814814814816
1998-04-19_Adelaide Crows_vs_Port Adelaide Power,1998-04-19,Adelaide Crows,Port Adelaide Power,101.6,18.8,7.0,13.179365079365079,1.6096491228070176
1998-04-26_Adelaide Crows_vs_Geelong Cats,1998-04-26,Adelaide Crows,Geelong Cats,95.8,16.6,7.0,12.674242424242424,1.8991228070175439
1998-05-03_Adelaide Crows_vs_North Melbourne Kangaroos,1998-05-03,Adelaide Crows,North Melbourne Kangaroos,88.2,15.6,7.0,12.581746031746032,1.3888888888888888
1998-05-10_Adelaide Crows_vs_West Coast Eagles,1998-05-10,Adelaide Crows,West Coast Eagles,96.0,16.8,7.0,12.4984126984127,1.4708333333333334
1998-05-17_Adelaide Crows_vs_Richmond Tigers,1998-05-17,Adelaide Crows,Richmond Tigers,78.4,-0.2,7.0,12.80952380952381,1.6095238095238096
1998-05-23_Adelaide Crows_vs_Brisbane Lions,1998-05-23,Adelaide Crows,Brisbane Lions,82.2,1.6,6.0,12.4025,1.6904761904761905
1998-05-31_Adelaide Crows_vs_Melbourne Demons,1998-05-31,Adelaide Crows,Melbourne Demons,89.0,13.0,8.0,11.451666666666666,1.6176470588235294
1998-06-07_Adelaide Crows_vs_Western Bulldogs,1998-06-07,Adelaide Crows,Western Bulldogs,93.8,18.4,7.0,11.871428571428572,1.5701754385964912
1998-06-13_Adelaide Crows_vs_Essendon Bombers,1998-06-13,Adelaide Crows,Essendon Bombers,91.0,5.8,6.0,11.885,1.6555555555555554
1998-06-20_Adelaide Crows_vs_collingwood magpies,1998-06-20,Adelaide Crows,collingwood magpies,96.8,4.6,7.0,,
1998-06-28_Adelaide Crows_vs_Sydney Swans,1998-06-28,Adelaide Crows,Sydney Swans,96.8,9.0,8.0,13.595614035087719,1.5071428571428573
1998-07-05_Adelaide Crows_vs_Hawthorn Hawks,1998-07-05,Adelaide Crows,Hawthorn Hawks,102.0,6.8,7.0,13.000833333333333,1.539814814814815
1998-07-17_Adelaide Crows_vs_Carlton Blues,1998-07-17,Adelaide Crows,Carlton Blues,93.4,2.8,12.0,13.519047619047617,1.5482456140350878
1998-07-24_Adelaide Crows_vs_Fremantle Dockers,1998-07-24,Adelaide Crows,Fremantle Dockers,96.0,15.4,7.0,13.28968253968254,1.612962962962963
